"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Case #5: Login with invalid credentials ","12500","loginWithInvalidCredentials","Graduation Project","2026-04-07","passed","2026-04-07","Tests.InvalidLoginTest","eyouthlearning","Tests.InvalidLoginTest","loginWithInvalidCredentials"
"Test Case #1: Search with a valid keyword","5914","searchWithValidKeyword","Graduation Project","2026-04-07","passed","2026-04-07","Tests.SearchTest","eyouthlearning","Tests.SearchTest","searchWithValidKeyword"
"Test Case #8: Verify Facebook link","6580","verifyFacebookLink","Graduation Project","2026-04-08","passed","2026-04-08","Tests.FacebookLinkTest","eyouthlearning","Tests.FacebookLinkTest","verifyFacebookLink"
"Test Case #8: Verify linkedin link","11563","verifyLinkedInLink","Graduation Project","2026-04-08","passed","2026-04-08","Tests.LinkedInTest","eyouthlearning","Tests.LinkedInTest","verifyLinkedInLink"
"Test Case #7: end-to-end scenario","26704","endToEndScenario","Graduation Project","2026-04-07","passed","2026-04-08","Tests.EndToEndTest","eyouthlearning","Tests.EndToEndTest","endToEndScenario"
"Test Case #4: Register with an empty username field","11925","registerWithEmptyUsername","Graduation Project","2026-04-07","passed","2026-04-07","Tests.RegWithoutUsernameTest","eyouthlearning","Tests.RegWithoutUsernameTest","registerWithEmptyUsername"
"Test Case #8: Verify Twitter link","54567","verifyTwitterLink","Graduation Project","2026-04-08","passed","2026-04-08","Tests.TwitterTest","eyouthlearning","Tests.TwitterTest","verifyTwitterLink"
"Test Case #2: Open course details","15678","openCourseDetails","Graduation Project","2026-04-07","passed","2026-04-07","Tests.CourseDetailsTest","eyouthlearning","Tests.CourseDetailsTest","openCourseDetails"
"Test Case #3: Open registration page","9980","openRegistrationPage","Graduation Project","2026-04-07","passed","2026-04-07","Tests.OpenRegistrationTest","eyouthlearning","Tests.OpenRegistrationTest","openRegistrationPage"
"Test Case #11: Verify course cards UI","11836","verifyCourseCardUI","Graduation Project","2026-04-08","passed","2026-04-08","Tests.CardItemsTest","eyouthlearning","Tests.CardItemsTest","verifyCourseCardUI"
"Test Case #6: Login with empty fields ","10863","loginWithEmptyFields","Graduation Project","2026-04-07","passed","2026-04-07","Tests.EmptyLoginTest","eyouthlearning","Tests.EmptyLoginTest","loginWithEmptyFields"
